00:00:15.982,00:00:24.557,00:00:40.473,00:01:02.529,00:01:17.811,00:02:23.743,00:02:55.008,00:05:21.387,00:09:47.286,00:10:00.900,00:11:16.709,00:12:44.230,00:12:51.303
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,479,00:00:15.982,15.9826333333,8.57523333333
2,736,00:00:24.557,24.5578666667,15.9159
3,1213,00:00:40.473,40.4737666667,22.0553666667
4,1874,00:01:02.529,62.5291333333,15.2819333333
5,2332,00:01:17.811,77.8110666667,65.9325333333
6,4308,00:02:23.743,143.7436,31.2645666667
7,5245,00:02:55.008,175.008166667,146.379566667
8,9632,00:05:21.387,321.387733333,265.898966667
9,17601,00:09:47.286,587.2867,13.6136
10,18009,00:10:00.900,600.9003,75.8090666667
11,20281,00:11:16.709,676.709366667,87.5207666667
12,22904,00:12:44.230,764.230133333,7.07373333333
13,23116,00:12:51.303,771.303866667,0.4004
